price,spec_rating,display_size,warranty,resolution_area,brand_Acer,brand_Apple,brand_Asus,brand_Dell,brand_HP,brand_Infinix,brand_Lenovo,brand_MSI,brand_Others,brand_Samsung,name,processor,CPU,Ram,Ram_type,ROM,ROM_type,GPU,OS
35990,69.32352941,15.56,1,2073600,0,0,0,1,0,0,0,0,0,0,297,15,17,6,2,5,1,126,12
45989,64.0,15.6,1,6400000,0,0,0,0,0,0,0,0,1,0,392,21,28,6,2,5,1,123,9
52500,69.32352941,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,296,24,28,6,2,1,0,123,10
59999,69.32352941,14.0,1,1049088,0,0,0,1,0,0,0,0,0,0,354,4,28,6,2,5,1,100,8
112990,69.32352941,13.3,1,4096000,0,1,0,0,0,0,0,0,0,0,377,161,21,6,2,5,1,91,7
21990,69.32352941,14.0,1,2073600,0,0,0,0,0,0,0,0,1,0,493,86,28,6,2,5,1,87,10
201498,81.0,16.0,1,5898240,0,1,0,0,0,0,0,0,0,0,382,154,20,3,2,3,1,48,5
64990,72.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,636,40,22,1,2,1,1,31,12
68999,63.0,14.0,0,2073600,0,0,0,0,0,0,1,0,0,0,581,37,1,6,2,5,1,123,3
60990,66.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,286,132,19,6,4,5,1,31,12
40990,69.32352941,15.6,1,2073600,0,0,0,1,0,0,0,0,0,0,303,34,18,6,2,5,1,112,12
107690,75.0,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,346,139,24,1,4,5,1,63,12
25490,69.32352941,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,616,158,16,6,8,5,1,74,12
38999,69.32352941,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,21,34,18,6,2,5,1,126,12
59990,69.32352941,15.6,1,2073600,0,0,0,0,0,1,0,0,0,0,213,7,28,6,6,5,1,112,12
60990,64.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,625,40,22,6,2,5,1,31,12
55500,70.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,650,132,19,6,4,5,1,31,12
124999,76.0,16.0,1,4096000,0,0,0,0,1,0,0,0,0,0,470,73,8,1,2,1,1,50,12
104990,76.0,16.1,1,2073600,0,0,0,0,1,0,0,0,0,0,417,139,24,1,4,1,1,53,12
136990,72.0,15.6,2,2073600,0,0,0,0,0,0,0,1,0,0,341,48,2,1,4,1,1,64,12
131990,83.0,16.0,1,4096000,0,0,0,0,0,0,1,0,0,0,368,139,24,1,4,1,1,63,12
36490,60.0,14.0,1,2073600,0,0,0,0,0,0,1,0,0,0,264,15,17,6,2,5,1,126,12
188752,75.0,13.4,1,4096000,0,0,1,0,0,0,0,0,0,0,494,141,24,1,8,1,1,63,12
36999,60.0,15.6,1,1049088,0,0,0,0,1,0,0,0,0,0,50,34,18,6,2,5,1,102,12
92890,75.0,14.0,1,5184000,0,0,0,0,0,0,1,0,0,0,780,59,6,1,8,1,1,94,12
57990,69.32352941,14.0,1,2304000,0,0,0,1,0,0,0,0,0,0,331,56,18,6,8,2,1,126,12
51999,62.0,15.6,1,2073600,0,0,0,0,1,0,0,0,0,0,46,37,1,6,2,5,1,112,12
79990,69.32352941,14.0,1,2304000,0,0,0,0,0,0,1,0,0,0,785,63,6,1,8,5,1,111,12
76890,64.0,14.0,1,2304000,0,0,0,0,0,0,1,0,0,0,236,58,1,1,6,5,1,111,12
37790,69.32352941,15.6,1,2073600,0,0,0,0,0,0,1,0,0,0,219,97,19,6,2,5,1,72,12
17990,69.32352941,11.6,1,1049088,1,0,0,0,0,0,0,0,0,0,436,176,16,6,2,0,1,112,12
